City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Port Lincoln,AU,-34.7333,135.8667,50.09,79,0,11.68,clear sky
189,Kashan,IR,33.9831,51.4364,98.19,8,4,9.22,clear sky
190,Sonepur,IN,20.8333,83.9167,81.09,83,81,3.69,light rain
191,Salta,AR,-24.7859,-65.4117,83.57,34,40,4.61,scattered clouds
192,Glenwood Springs,US,39.5505,-107.3248,85.06,26,0,8.05,clear sky
193,Doume,CM,4.2333,13.45,69.73,97,94,1.74,overcast clouds
194,Tacuarembo,UY,-31.7333,-55.9833,69.78,83,87,12.33,overcast clouds
195,Belmira,CO,6.6051,-75.6662,71.96,46,82,0.85,broken clouds
196,Bamboo,JM,18.3922,-77.2643,81.37,58,86,15.12,overcast clouds
197,Sambalpur,IN,21.45,83.9667,80.69,81,22,7.09,light rain
198,Bredasdorp,ZA,-34.5322,20.0403,58.44,59,7,12.26,clear sky
199,Sai Buri,TH,6.7013,101.6168,78.15,84,100,5.77,heavy intensity rain
200,Goderich,CA,43.7501,-81.7165,73.72,35,0,9.22,clear sky
201,Ibra,OM,22.6906,58.5334,79.61,83,100,5.7,light rain
202,Skagen,DK,57.7209,10.5839,62.53,70,20,21.88,few clouds
203,Athens,GR,37.9795,23.7162,74.12,81,27,8.99,scattered clouds
204,Bandarbeyla,SO,9.4942,50.8122,78.89,67,70,30.4,broken clouds
205,Kloulklubed,PW,7.0419,134.2556,79.3,81,100,16.42,overcast clouds
206,Cap Malheureux,MU,-19.9842,57.6142,69.48,61,64,8.99,broken clouds
207,Jalu,LY,29.0331,21.5482,88.93,35,0,20.8,clear sky
208,Vredendal,ZA,-31.6683,18.5012,56.1,86,51,6.78,broken clouds
209,Portland,US,45.5234,-122.6762,73.06,67,75,8.05,broken clouds
210,Qasigiannguit,GL,68.8193,-51.1922,48.45,78,96,3.38,overcast clouds
211,Kazachinskoye,RU,57.6953,93.2761,60.37,81,70,2.75,broken clouds
212,Sarakhs,IR,36.5449,61.1577,87.94,20,0,4.61,clear sky
213,Cururupu,BR,-1.8283,-44.8683,84.74,61,41,5.3,scattered clouds
214,Chumikan,RU,54.7183,135.315,52.97,94,100,5.23,overcast clouds
215,Yushu,CN,44.8,126.5333,63.19,68,1,7.49,clear sky
216,Lensk,RU,60.7253,114.9278,58.91,99,100,3.53,light rain
