City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Sompeta,IN,80.51,broken clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
315,La Rioja,ES,85.78,clear sky,42.25,-2.5,Casa Concejos
317,Saint Anthony,US,83.08,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
319,Kavaratti,IN,81.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
323,Basco,PH,84.11,broken clouds,20.4487,121.9702,Nathaniel's Lodge
324,Bastia,FR,85.8,clear sky,42.6667,9.3333,Hotel Santa Maria
325,Pangai,TO,76.71,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
326,Galle,LK,80.64,overcast clouds,6.0367,80.217,Amangalla
327,Marquette,US,72.77,broken clouds,46.5333,-87.6335,Al Quaal Lodge
329,Shimoda,JP,73.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
330,Kralendijk,BQ,87.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
332,Kavieng,PG,81.23,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
334,Kreuzau,DE,73.53,broken clouds,50.75,6.4833,Hotel am See Obermaubach
336,Rongcheng,CN,79.86,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
337,Robertson,US,83.07,overcast clouds,36.5167,-86.8667,Hampton Inn Springfield
338,Mangan,IN,74.71,light rain,27.5167,88.5333,Hotel Mout View
341,Inongo,CD,75.58,scattered clouds,-1.95,18.2667,Hotel Du Lac
342,College,US,72.21,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
345,Shahapur,IN,74.57,light rain,19.45,73.3333,OYO 68690 Hotel New Food Hub
346,Japura,ID,73.89,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
347,Sterling,US,71.28,light rain,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
348,Boyolangu,ID,72.59,broken clouds,-8.1181,111.8935,Yos ega cv
349,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
350,Broome,US,81.66,clear sky,42.2506,-75.833,Chenango Valley State Park
353,Bereda,ES,83.41,clear sky,43.2686,-7.5406,Pazo de Verdes
356,North Branch,US,83.01,clear sky,45.5113,-92.9802,AmericInn by Wyndham North Branch
358,Musoma,TZ,72.45,few clouds,-1.5,33.8,New Peninsula Hotel
361,Guane,CU,90.18,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
363,Bambanglipuro,ID,75.04,few clouds,-7.95,110.2833,Puri Brata
364,Anloga,GH,78.35,overcast clouds,5.7947,0.8973,Pin Drop Hotel
367,Guerrero Negro,MX,76.37,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
371,Flagstaff,US,87.57,few clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
372,Chitral,PK,80.17,clear sky,35.8462,71.7858,PTDC Motel Chitral
373,Vila Franca Do Campo,PT,74.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
375,Horsham,GB,82.81,clear sky,51.064,-0.3272,Springfields Hotel
379,Sibolga,ID,76.66,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
